Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-06-24),Price Override,Watchlist,Date Added,Notes
JupiterCollects,Magic: The Gathering,Avatar: The Last Airbender,Avatar: The Last Airbender - Collector Booster Display,,,Normal,Ungraded,Near Mint,0,1,370.43,0,FALSE,14/11/2025,
JupiterCollects,Magic: The Gathering,Secret Lair Drop Series,Chaos Emerald - Lotus Petal (7031),7031,M,Foil,Ungraded,Near Mint,0,1,241.06,0,FALSE,12/10/2025,
JupiterCollects,Pokemon,Ascended Heroes,Ascended Heroes Booster Bundle,,,Normal,Ungraded,Near Mint,0,14,95.84,0,FALSE,18/04/2026,
JupiterCollects,Pokemon,Ascended Heroes,Ascended Heroes Elite Trainer Box,,,Normal,Ungraded,Near Mint,0,3,175.07,0,FALSE,19/02/2026,
JupiterCollects,Pokemon,Ascended Heroes,Ascended Heroes Pokemon Center Elite Trainer Box (Exclusive),,,Normal,Ungraded,Near Mint,0,2,464.98,0,FALSE,19/02/2026,
JupiterCollects,Pokemon,Black Bolt,Black Bolt Booster Bundle,,,Normal,Ungraded,Near Mint,0,5,86.93,0,FALSE,16/09/2025,
JupiterCollects,Pokemon,Black Bolt,Black Bolt Pokemon Center Elite Trainer Box (Exclusive),,,Normal,Ungraded,Near Mint,0,1,265.77,0,FALSE,17/05/2025,
JupiterCollects,Pokemon,Brilliant Stars,Brilliant Stars Booster Box,,,Normal,Ungraded,Near Mint,0,1,625.83,0,FALSE,24/01/2026,
JupiterCollects,Pokemon,Chaos Rising,Chaos Rising Booster Box,,,Normal,Ungraded,Near Mint,0,3,235.34,0,FALSE,23/05/2026,
JupiterCollects,Pokemon,Destined Rivals,Destined Rivals Booster Box,,,Normal,Ungraded,Near Mint,0,3,595.73,0,FALSE,30/05/2025,
JupiterCollects,Pokemon,Destined Rivals,Destined Rivals Pokemon Center Elite Trainer Box (Exclusive),,,Normal,Ungraded,Near Mint,0,1,492.32,0,FALSE,25/10/2025,
JupiterCollects,Pokemon,Evolving Skies,Evolving Skies Booster Box,,,Normal,Ungraded,Near Mint,0,1,"2,352.38",0,FALSE,24/01/2026,
JupiterCollects,Pokemon,Fusion Strike,Fusion Strike Booster Box,,,Normal,Ungraded,Near Mint,0,1,"1,003.47",0,FALSE,25/10/2025,
JupiterCollects,Pokemon,Journey Together,Journey Together Booster Box,,,Normal,Ungraded,Near Mint,0,3,281.9,0,FALSE,04/10/2025,
JupiterCollects,Pokemon,Journey Together,Journey Together Pokemon Center Elite Trainer Box (Exclusive),,,Normal,Ungraded,Near Mint,0,1,203.19,0,FALSE,25/10/2025,
JupiterCollects,Pokemon,Lost Origin,Lost Origin Booster Box,,,Normal,Ungraded,Near Mint,0,1,781.67,0,FALSE,24/01/2026,
JupiterCollects,Pokemon,MEGA Dream ex,Mega Dragonite ex,246/193,Special Art Rare,Holofoil,Ungraded,Near Mint,0,1,291.89,0,FALSE,03/01/2026,
JupiterCollects,Pokemon,Mega Evolution,Mega Evolution Booster Box,,,Normal,Ungraded,Near Mint,0,3,308.17,0,FALSE,11/10/2025,
JupiterCollects,Pokemon,Mega Evolution,Mega Evolution Enhanced Booster Box,,,Normal,Ungraded,Near Mint,0,3,314.4,0,FALSE,11/10/2025,
JupiterCollects,Pokemon,Mega Evolution,Mega Evolution Half Booster Box,,,Normal,Ungraded,Near Mint,0,3,169.18,0,FALSE,14/10/2025,
JupiterCollects,Pokemon,Mega Evolution,Mega Evolution Pokemon Center Elite Trainer Box (Exclusive) [Mega Gardevoir],,,Normal,Ungraded,Near Mint,0,1,213.92,0,FALSE,11/10/2025,
JupiterCollects,Pokemon,Mega Evolution,Mega Evolution Pokemon Center Elite Trainer Box (Exclusive) [Mega Lucario],,,Normal,Ungraded,Near Mint,0,1,237.93,0,FALSE,11/10/2025,
JupiterCollects,Pokemon,Miscellaneous Cards & Products,Hiroshima Box (Pokemon Center) (JP),,,Normal,Ungraded,Near Mint,0,1,221.3,0,FALSE,17/10/2025,
JupiterCollects,Pokemon,Miscellaneous Cards & Products,Mega Charizard X ex Ultra Premium Collection,,,Normal,Ungraded,Near Mint,0,2,256.5,0,FALSE,29/11/2025,
JupiterCollects,Pokemon,Miscellaneous Cards & Products,Team Rocket’s Moltres ex Ultra-Premium Collection,,,Normal,Ungraded,Near Mint,0,1,343.34,0,FALSE,21/01/2026,
JupiterCollects,Pokemon,Paldea Evolved,Paldea Evolved Half Booster Box,,,Normal,Ungraded,Near Mint,0,3,214.03,0,FALSE,13/09/2025,
JupiterCollects,Pokemon,Perfect Order,Perfect Order Booster Box,,,Normal,Ungraded,Near Mint,0,2,221.38,0,FALSE,03/04/2026,
JupiterCollects,Pokemon,Phantasmal Flames,Mega Charizard X ex,125/094,Special Illustration Rare,Holofoil,PSA 9.0 MINT,Near Mint,0,1,872.73,0,FALSE,05/06/2026,
JupiterCollects,Pokemon,Phantasmal Flames,Mega Charizard X ex,130/094,Mega Hyper Rare,Holofoil,PSA 9.0 MINT,Near Mint,0,1,371.7,0,FALSE,05/06/2026,
JupiterCollects,Pokemon,Phantasmal Flames,Phantasmal Flames Booster Box,,,Normal,Ungraded,Near Mint,0,3,462.69,0,FALSE,14/11/2025,
JupiterCollects,Pokemon,Phantasmal Flames,Phantasmal Flames Booster Box Case,,,Normal,Ungraded,Near Mint,0,1,"2,695.67",0,FALSE,14/11/2025,
JupiterCollects,Pokemon,Phantasmal Flames,Phantasmal Flames Elite Trainer Box,,,Normal,Ungraded,Near Mint,0,5,155.19,0,FALSE,14/11/2025,
JupiterCollects,Pokemon,Phantasmal Flames,Phantasmal Flames Pokemon Center Elite Trainer Box (Exclusive),,,Normal,Ungraded,Near Mint,0,1,289.52,0,FALSE,05/01/2026,
JupiterCollects,Pokemon,Prismatic Evolutions,Flareon ex,146/131,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,211.72,0,FALSE,18/10/2025,
JupiterCollects,Pokemon,Prismatic Evolutions,Prismatic Evolutions Pokemon Center Elite Trainer Box (Exclusive),,,Normal,Ungraded,Near Mint,0,6,478.9,0,FALSE,17/05/2025,
JupiterCollects,Pokemon,Prismatic Evolutions,Prismatic Evolutions Premium Figure Collection,,,Normal,Ungraded,Near Mint,0,4,234.19,0,FALSE,18/10/2025,
JupiterCollects,Pokemon,Shrouded Fable,Shrouded Fable Pokemon Center Elite Trainer Box (Exclusive),,,Normal,Ungraded,Near Mint,0,1,155.5,0,FALSE,25/10/2025,
JupiterCollects,Pokemon,Silver Tempest,Silver Tempest Booster Box,,,Normal,Ungraded,Near Mint,0,1,538.24,0,FALSE,25/10/2025,
JupiterCollects,Pokemon,Surging Sparks,Surging Sparks Booster Box,,,Normal,Ungraded,Near Mint,0,3,289.16,0,FALSE,13/09/2025,
JupiterCollects,Pokemon,Surging Sparks,Surging Sparks Pokemon Center Elite Trainer Box (Exclusive),,,Normal,Ungraded,Near Mint,0,1,287.59,0,FALSE,25/10/2025,
JupiterCollects,Pokemon,Trading Card Game Classic,Pokemon Trading Card Game Classic,,,Normal,Ungraded,Near Mint,0,1,500.75,0,FALSE,12/10/2025,
JupiterCollects,Pokemon,White Flare,White Flare Booster Bundle,,,Normal,Ungraded,Near Mint,0,5,79.87,0,FALSE,16/09/2025,
JupiterCollects,Pokemon,White Flare,White Flare Pokemon Center Elite Trainer Box (Exclusive),,,Normal,Ungraded,Near Mint,0,1,218.18,0,FALSE,17/05/2025,
Personal,Dragon Ball Super Fusion World,Awakened Pulse,Awakened Pulse Booster Box,,,Normal,Ungraded,Near Mint,150,1,340.27,0,FALSE,06/02/2026,
Personal,Pokemon,Black Bolt,Black Bolt Booster Bundle Display,,,Normal,Ungraded,Near Mint,587,1,"1,215.22",0,FALSE,27/08/2025,
Personal,Pokemon,Prismatic Evolutions,Prismatic Evolutions Booster Bundle Display,,,Normal,Ungraded,Near Mint,1007,1,"1,599",0,FALSE,26/07/2025,
Personal,Pokemon,SV: 151,151 Booster Bundle Display,,,Normal,Ungraded,Near Mint,945,1,"2,140.22",0,FALSE,03/08/2025,
SIRs,Pokemon,Black Bolt,Excadrill ex,168/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,24.87,0,FALSE,10/01/2026,
SIRs,Pokemon,Black Bolt,Genesect ex,169/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,47.91,0,FALSE,10/01/2026,
SIRs,Pokemon,Black Bolt,Kyurem ex,165/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,82.81,0,FALSE,10/01/2026,
SIRs,Pokemon,Black Bolt,Meloetta ex,167/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,44.06,0,FALSE,10/01/2026,
